Unbroken Algebra,Stabilized Vector,Ideal,Rep,Repeat
A8,v.55,A8,"1x[ 1, 1, 0, 0, 0, 0, 0, 0 ]+4x[ 0, 0, 0, 0, 0, 0, 0, 0 ]+2x[ 1, 0, 0, 0, 0, 0, 0, 0 ]+2x[ 0, 1, 0, 0, 0, 0, 0, 0 ]"
A6 A1,v.53+v.54,A6,"1x[ 1, 1, 0, 0, 0, 0 ]+16x[ 0, 0, 0, 0, 0, 0 ]+4x[ 0, 1, 0, 0, 0, 0 ]+4x[ 1, 0, 0, 0, 0, 0 ]",A1,"3^4+1^52+2^28"
A4 A2,v.50+v.51+v.52,A2,"4x[ 1, 1 ]+28x[ 0, 0 ]+10x[ 1, 0 ]+10x[ 0, 1 ]",A4,"1x[ 1, 1, 0, 0 ]+36x[ 0, 0, 0, 0 ]+6x[ 0, 1, 0, 0 ]+6x[ 1, 0, 0, 0 ]"
A3 A2,v.37+v.49+v.50+v.51,A3,"4x[ 1, 1, 0 ]+12x[ 0, 0, 0 ]+6x[ 1, 0, 0 ]+6x[ 0, 1, 0 ]",A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 1, 0 ]+8x[ 0, 1 ]"
A4,v.38+v.41+v.42+v.45+v.48,A4,"4x[ 1, 1, 0, 0 ]+4x[ 0, 0, 0, 0 ]+2x[ 0, 1, 0, 0 ]+2x[ 1, 0, 0, 0 ]"
A7,v.35+v.40,A7,"1x[ 1, 1, 0, 0, 0, 0, 0 ]+9x[ 0, 0, 0, 0, 0, 0, 0 ]+3x[ 0, 1, 0, 0, 0, 0, 0 ]+3x[ 1, 0, 0, 0, 0, 0, 0 ]"
A5,v.27+v.46+v.51,A5,"1x[ 1, 1, 0, 0, 0 ]+25x[ 0, 0, 0, 0, 0 ]+5x[ 1, 0, 0, 0, 0 ]+5x[ 0, 1, 0, 0, 0 ]"
A1 A3,v.34+v.41+v.47+v.48,A3,"1x[ 1, 1, 0 ]+49x[ 0, 0, 0 ]+7x[ 0, 1, 0 ]+7x[ 1, 0, 0 ]",A1,"3^4+1^52+2^28"
A1 A2,v.28+v.38+v.42+v.45+v.48,A2,"4x[ 1, 1 ]+28x[ 0, 0 ]+10x[ 1, 0 ]+10x[ 0, 1 ]",A1,"3^1+1^81+2^18"
A3,v.30+v.31+v.35+v.39+v.40+v.47,A3,"4x[ 1, 1, 0 ]+12x[ 0, 0, 0 ]+6x[ 1, 0, 0 ]+6x[ 0, 1, 0 ]"
A4 A1,v.33+v.34+v.35+v.36,A4,"1x[ 1, 1, 0, 0 ]+36x[ 0, 0, 0, 0 ]+6x[ 0, 1, 0, 0 ]+6x[ 1, 0, 0, 0 ]",A1,"3^9+1^33+2^30"
A2 A1,v.21+v.34+v.39+v.41+v.43,A1,"3^9+1^33+2^30",A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 0, 1 ]+8x[ 1, 0 ]"
A1 A1,v.31+v.33+v.34+v.35+v.36+v.43,A1,"3^4+1^52+2^28",A1,"3^9+1^33+2^30"
A2 A1,v.25+v.26+v.27+v.35+v.36+v.37,A2,"9x[ 1, 1 ]+12x[ 0, 0 ]+6x[ 1, 0 ]+6x[ 0, 1 ]",A1,"3^1+1^81+2^18"
A2,v.28+v.29+v.30+v.31+v.32+v.33+v.34,A2,"9x[ 1, 1 ]+12x[ 0, 0 ]+6x[ 1, 0 ]+6x[ 0, 1 ]"
A6,v.1+v.10+v.51,A6,"1x[ 1, 1, 0, 0, 0, 0 ]+16x[ 0, 0, 0, 0, 0, 0 ]+4x[ 1, 0, 0, 0, 0, 0 ]+4x[ 0, 1, 0, 0, 0, 0 ]"
A4,v.10+v.11+v.47+v.48,A4,"1x[ 1, 1, 0, 0 ]+36x[ 0, 0, 0, 0 ]+6x[ 0, 1, 0, 0 ]+6x[ 1, 0, 0, 0 ]"
A2 A1,v.1+v.19+v.37+v.44+v.47,A1,"3^4+1^52+2^28",A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 1, 0 ]+8x[ 0, 1 ]"
A2,v.11+v.27+v.36+v.37+v.38+v.39,A2,"4x[ 1, 1 ]+28x[ 0, 0 ]+10x[ 0, 1 ]+10x[ 1, 0 ]"
A3,v.11+v.19+v.21+v.39+v.43,A3,"1x[ 1, 1, 0 ]+49x[ 0, 0, 0 ]+7x[ 1, 0, 0 ]+7x[ 0, 1, 0 ]"
A1,v.19+v.20+v.29+v.33+v.37+v.38,A1,"3^1+1^81+2^18"
A1,v.20+v.27+v.29+v.30+v.31+v.32+v.33,A1,"3^4+1^52+2^28"
A1,v.20+v.25+v.26+v.27+v.29+v.30+v.31,A1,"3^9+1^33+2^30"
A2 A1,v.11+v.12+v.18+v.19+v.31+v.43,A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 0, 1 ]+8x[ 1, 0 ]",A1,"3^16+1^24+2^24"
A1,v.18+v.19+v.20+v.21+v.30+v.31+v.32,A1,"3^16+1^24+2^24"
A1,v.20+v.21+v.22+v.23+v.24+v.25+v.26+v.27,A1,"3^16+1^24+2^24"
A5,v.1+v.10+v.29+v.33,A5,"1x[ 1, 1, 0, 0, 0 ]+25x[ 0, 0, 0, 0, 0 ]+5x[ 1, 0, 0, 0, 0 ]+5x[ 0, 1, 0, 0, 0 ]"
A3,v.1+v.10+v.29+v.33+v.43,A3,"1x[ 1, 1, 0 ]+49x[ 0, 0, 0 ]+7x[ 1, 0, 0 ]+7x[ 0, 1, 0 ]"
A1 A1,v.1+v.10+v.29+v.33+v.37+v.38,A1,"3^1+1^81+2^18",A1,"3^4+1^52+2^28"
A2,v.1+v.10+v.29+v.30+v.31+v.32+v.33,A2,"4x[ 1, 1 ]+28x[ 0, 0 ]+10x[ 0, 1 ]+10x[ 1, 0 ]"
A2,v.10+v.11+v.25+v.26+v.29+v.30,A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 1, 0 ]+8x[ 0, 1 ]"
0,v.1+v.13+v.17+v.19+v.31+v.36+v.39,0
A1,v.4+v.10+v.11+v.16+v.26+v.29+v.30+v.32,A1,"3^9+1^33+2^30"
A1,v.11+v.12+v.17+v.18+v.19+v.30+v.31,A1,"3^1+1^81+2^18"
0,v.11+v.12+v.19+v.22+v.23+v.24+v.25+v.26,0
