Unbroken Algebra,Stabilized Vector,Ideal,Rep,Repeat
D6,v.63,D6,"2x[ 0, 1, 0, 0, 0, 0 ]+1x[ 0, 0, 0, 0, 1, 0 ]"
B4 A1,v.57+v.60,B4,"2x[ 0, 1, 0, 0 ]+6x[ 0, 0, 0, 0 ]+2x[ 0, 0, 0, 1 ]",A1,"2^12+1^32"
F4,v.47+v.48+v.49,F4,"2x[ 0, 0, 0, 1 ]+4x[ 0, 0, 0, 0 ]"
C3 A1,v.42+v.56+v.59,C3,"1x[ 0, 0, 1 ]+7x[ 1, 0, 0 ]",A1,"1^32+2^12"
A5,v.44+v.46,A5,"3x[ 1, 0, 0, 0, 0 ]+3x[ 0, 1, 0, 0, 0 ]+1x[ 0, 0, 0, 0, 1 ]"
C3,v.45+v.47+v.52+v.53,C3,"2x[ 0, 1, 0 ]+4x[ 0, 0, 0 ]+4x[ 1, 0, 0 ]"
A3,v.44+v.46+v.49,A3,"12x[ 0, 0, 0 ]+4x[ 1, 0, 0 ]+4x[ 0, 1, 0 ]+2x[ 0, 0, 1 ]"
A1 A1 A1,v.41+v.42+v.43+v.51,A1,"2^16+3^2+1^18",A1,"4^4+2^8+3^6+1^6",A1,"1^32+2^12"
B3 A1,v.20+v.21+v.49,B3,"2x[ 0, 0, 1 ]+10x[ 0, 0, 0 ]+4x[ 0, 1, 0 ]",A1,"2^12+1^32"
G2 A1,v.34+v.35+v.36+v.43,G2,"6x[ 0, 1 ]+14x[ 0, 0 ]",A1,"4^1+2^26"
G2,v.37+v.38+v.39+v.40+v.41,G2,"2x[ 1, 0 ]+4x[ 0, 1 ]"
B3,v.27+v.30+v.31+v.37,B3,"2x[ 0, 1, 0 ]+10x[ 0, 0, 0 ]+4x[ 0, 0, 1 ]"
A1 A1,v.34+v.35+v.36+v.37+v.43,A1,"4^1+2^26",A1,"3^6+1^14+2^12"
A1 A1 A1,v.27+v.28+v.39+v.49,A1,"2^16+3^2+1^18",A1,"1^32+2^12",A1,"1^32+2^12"
A1 A1 A1,v.27+v.29+v.31+v.32+v.39,A1,"1^32+2^12",A1,Branching failed,A1,Branching failed
A1 A1,v.27+v.30+v.31+v.37+v.40,A1,"3^2+1^18+2^16",A1,"1^32+2^12"
C3,v.1+v.28+v.29+v.31,C3,"1x[ 0, 0, 1 ]+7x[ 1, 0, 0 ]"
A1 A1,v.22+v.30+v.31+v.32+v.33+v.35,A1,Branching failed,A1,Branching failed
A1,v.27+v.29+v.30+v.31+v.32,A1,"1^32+2^12"
A2,v.20+v.21+v.25+v.29,A2,"20x[ 0, 0 ]+6x[ 1, 0 ]+6x[ 0, 1 ]"
A1,v.25+v.26+v.27+v.28+v.29+v.47,A1,"7^4+5^2+3^6"
G2,v.7+v.20+v.21+v.23+v.24,G2,"6x[ 0, 1 ]+14x[ 0, 0 ]"
B2,v.1+v.28+v.29+v.30+v.31,B2,"2x[ 0, 1 ]+14x[ 0, 0 ]+8x[ 1, 0 ]"
0,v.20+v.21+v.25+v.28+v.29,0
A1,v.8+v.18+v.28+v.29+v.30+v.31,A1,"1^32+2^12"
A1,v.20+v.21+v.22+v.23+v.24+v.25,A1,"6^3+4^7+2^5"
A1 A1,v.12+v.13+v.20+v.21+v.28,A1,"1^32+2^12",A1,"4^1+2^26"
A1,v.7+v.18+v.20+v.21+v.28+v.29,A1,"3^6+1^14+2^12"
A1,v.17+v.18+v.19+v.20+v.29+v.30,A1,"5^2+3^14+1^4"
A1,v.13+v.15+v.16+v.21+v.23+v.24,A1,"1^32+2^12"
A1,v.14+v.15+v.17+v.19+v.23+v.26,A1,"4^1+2^26"
A1 A1,v.1+v.15+v.17+v.18+v.19,A1,"1^32+2^12",A1,"2^16+3^2+1^18"
0,v.14+v.15+v.16+v.18+v.19+v.21+v.33,0
A1,v.12+v.13+v.14+v.15+v.16+v.17,A1,"4^7+2^14"
A1,v.1+v.15+v.16+v.17+v.18+v.19,A1,"2^16+3^2+1^18"
A1,v.1+v.7+v.13+v.15+v.17+v.23,A1,"1^32+2^12"
0,v.8+v.11+v.13+v.15+v.22+v.23+v.24,0
A1,v.1+v.6+v.7+v.15+v.16+v.17,A1,"1^32+2^12"
0,v.4+v.8+v.12+v.13+v.15+v.16+v.17,0
A1,v.1+v.3+v.9+v.11+v.12+v.13,A1,"4^1+2^26"
0,v.7+v.8+v.9+v.10+v.11+v.12+v.22,0
0,v.1+v.2+v.7+v.9+v.10+v.11+v.12,0
0,v.1+v.2+v.5+v.6+v.7+v.9+v.10,0
0,v.1+v.2+v.3+v.4+v.5+v.6+v.7,0
